city,county,crashday,crashhour,crashloc,crashmonth,crashsevr,crashtype,development,drvrinjury,latitude,longitude,pedinjury,pedpos,rdclass,rdconfig,drvragegrp
Hendersonville,Henderson,Monday,22,Non-Roadway,June,O: No Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,35.34719476,-82.43360741,O: No Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,One-Way: Not Divided,40-49
Chapel Hill,Orange,Tuesday,11,Non-Intersection,June,C: Possible Injury,Motorist Exiting Driveway or Alley,Institutional,O: No Injury,35.90182946,-79.05240312,C: Possible Injury,Crosswalk Area,Public Vehicular Area,Unknown,50-59
Wilmington,New Hanover,Friday,22,Non-Intersection,May,B: Suspected Minor Injury,Dash,Commercial,O: No Injury,34.21940714,-77.88688249,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Not Divided,30-39
Winston-Salem,Forsyth,Tuesday,16,Non-Roadway,July,O: No Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,36.18943778,-80.27105525,O: No Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,One-Way: Not Divided,40-49
None - Rural Crash,Robeson,Sunday,11,Non-Roadway,June,C: Possible Injury,Off Roadway - Parking Lot,Residential,C: Possible Injury,34.5762792,-78.91774794,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,70+
Raleigh,Wake,Monday,17,Intersection,May,B: Suspected Minor Injury,Play Vehicle-Related,Residential,O: No Injury,35.90550558,-78.80694221,B: Suspected Minor Injury,Intersection Proper,Local Street,Two-Way: Not Divided,60-69
Durham,Durham,Monday,21,Intersection-Related,May,C: Possible Injury,Walking in Roadway,Commercial,O: No Injury,35.98751045,-78.88781514,C: Possible Injury,Travel Lane,Local Street,Two-Way: Divided: Unprotected Median,30-39
Cary,Wake,Monday,3,Non-Intersection,May,K: Killed,Standing in Roadway,Farms: Woods: Pastures,B: Suspected Minor Injury,35.74578248,-78.77686468,K: Killed,Travel Lane,US Route,Two-Way: Divided: Positive Median Barrier,40-49
Winston-Salem,Forsyth,Wednesday,16,Non-Intersection,July,C: Possible Injury,Walking Along Roadway Against Traffic - From Front,Commercial,O: No Injury,36.09001955,-80.27659981,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,60-69
Wilson,Wilson,Saturday,20,Intersection-Related,May,O: No Injury,Pedestrian Failed to Yield,Commercial,O: No Injury,35.76377873,-78.00959512,Unknown Injury,Travel Lane,Local Street,Two-Way: Divided: Unprotected Median,25-29
